Course ID,Course Name,Unit,Review Number,Avg Star,Level,Results
Business Analysis & Process Management,Business Analysis & Process Management,Coursera Project Network,Recommended,4.4,Beginner level,"Analyze business processes and find solutions to existing business problems
Define your business processes, their objectives and how they flow within the organizational context
Evaluate the current business from a process view, break down the problems, and find an applicable business solution."
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,"37,039",4.6,Beginner level,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. "
Introduction to Microsoft Excel,Introduction to Microsoft Excel,Coursera Project Network,Recommended,4.6,Intermediate level,"Create an Excel spreadsheet and learn how to maneuver around the spreadsheet for data entry.
Create simple formulas in an Excel spreadsheet to analyze data."
English for Common Interactions in the Workplace: Basic Level,English for Common Interactions in the Workplace: Basic Level,Pontificia Universidad Católica de Chile,"2,200",4.7,8 hours to complete," Describe professions and daily activities related to the workplace.
Make and answer basic phone calls related to the workplace. 
Make arrangements for meetings at the workplace. 
Talk about job activities in the past. "
Build a free website with WordPress,Build a free website with WordPress,Coursera Project Network,881,4.4,Guided Project,Open a free website on WordPress it and add pages to the website  
Google Ads for Beginners,Google Ads for Beginners,Coursera Project Network,Recommended,4.4,Beginner level,"Create a Google Ads account and set up first campaign structure
Create ad groups, do keyword research, set up audience targeting, and write ads
Learn how to use the tools and settings available to optimize campaigns and make them profitable  "
Cybersecurity for Everyone,Cybersecurity for Everyone,"University of Maryland, College Park","1,925",4.7,Beginner level,
English for Career Development,English for Career Development,University of Pennsylvania,"15,472",4.8,40 hours to complete,
Hands-on Introduction to Linux Commands and Shell Scripting,Hands-on Introduction to Linux Commands and Shell Scripting,IBM,"1,242",4.7,4 modules,"Describe the Linux architecture and common Linux distributions and update and install software on a Linux system. 
Perform common informational, file, content, navigational, compression, and networking commands in Bash shell. 
Develop shell scripts using Linux commands, environment variables, pipes, and filters.
Schedule cron jobs in Linux with crontab and explain the cron syntax.  "
Introductory Human Physiology,Introductory Human Physiology,Duke University,"4,911",4.8,Beginner level,"Recognize how the basic organ systems of the body work 
Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems"
First Step Korean,First Step Korean,Yonsei University,"50,499",4.9,6 modules,
Financial Markets,Financial Markets,Yale University,"27,992",4.8,Beginner level,
Business Analysis & Process Management,Business Analysis & Process Management,Coursera Project Network,Recommended,4.4,Beginner level,"Analyze business processes and find solutions to existing business problems
Define your business processes, their objectives and how they flow within the organizational context
Evaluate the current business from a process view, break down the problems, and find an applicable business solution."
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,"37,039",4.6,Beginner level,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. "
Introduction to Microsoft Excel,Introduction to Microsoft Excel,Coursera Project Network,Recommended,4.6,Intermediate level,"Create an Excel spreadsheet and learn how to maneuver around the spreadsheet for data entry.
Create simple formulas in an Excel spreadsheet to analyze data."
English for Common Interactions in the Workplace: Basic Level,English for Common Interactions in the Workplace: Basic Level,Pontificia Universidad Católica de Chile,"2,200",4.7,5 modules," Describe professions and daily activities related to the workplace.
Make and answer basic phone calls related to the workplace. 
Make arrangements for meetings at the workplace. 
Talk about job activities in the past. "
Build a free website with WordPress,Build a free website with WordPress,Coursera Project Network,Recommended,4.4,Intermediate level,Open a free website on WordPress it and add pages to the website  
Google Ads for Beginners,Google Ads for Beginners,Coursera Project Network,Recommended,4.4,Beginner level,"Create a Google Ads account and set up first campaign structure
Create ad groups, do keyword research, set up audience targeting, and write ads
Learn how to use the tools and settings available to optimize campaigns and make them profitable  "
Cybersecurity for Everyone,Cybersecurity for Everyone,"University of Maryland, College Park","1,925",4.7,6 modules,
English for Career Development,English for Career Development,University of Pennsylvania,"15,472",4.8,5 modules,
Hands-on Introduction to Linux Commands and Shell Scripting,Hands-on Introduction to Linux Commands and Shell Scripting,IBM,"1,242",4.7,Beginner level,"Describe the Linux architecture and common Linux distributions and update and install software on a Linux system. 
Perform common informational, file, content, navigational, compression, and networking commands in Bash shell. 
Develop shell scripts using Linux commands, environment variables, pipes, and filters.
Schedule cron jobs in Linux with crontab and explain the cron syntax.  "
Introductory Human Physiology,Introductory Human Physiology,Duke University,"4,911",4.8,11 modules,"Recognize how the basic organ systems of the body work 
Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems"
First Step Korean,First Step Korean,Yonsei University,"50,499",4.9,6 modules,
Financial Markets,Financial Markets,Yale University,"27,992",4.8,Beginner level,
Business Analysis & Process Management,Business Analysis & Process Management,Coursera Project Network,Recommended,4.4,Beginner level,"Analyze business processes and find solutions to existing business problems
Define your business processes, their objectives and how they flow within the organizational context
Evaluate the current business from a process view, break down the problems, and find an applicable business solution."
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,"37,039",4.6,Beginner level,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. "
Introduction to Microsoft Excel,Introduction to Microsoft Excel,Coursera Project Network,Recommended,4.6,Intermediate level,"Create an Excel spreadsheet and learn how to maneuver around the spreadsheet for data entry.
Create simple formulas in an Excel spreadsheet to analyze data."
English for Common Interactions in the Workplace: Basic Level,English for Common Interactions in the Workplace: Basic Level,Pontificia Universidad Católica de Chile,"2,200",4.7,8 hours to complete," Describe professions and daily activities related to the workplace.
Make and answer basic phone calls related to the workplace. 
Make arrangements for meetings at the workplace. 
Talk about job activities in the past. "
Build a free website with WordPress,Build a free website with WordPress,Coursera Project Network,Recommended,4.4,Intermediate level,Open a free website on WordPress it and add pages to the website  
Google Ads for Beginners,Google Ads for Beginners,Coursera Project Network,"4,947",4.4,Guided Project,"Create a Google Ads account and set up first campaign structure
Create ad groups, do keyword research, set up audience targeting, and write ads
Learn how to use the tools and settings available to optimize campaigns and make them profitable  "
Cybersecurity for Everyone,Cybersecurity for Everyone,"University of Maryland, College Park","1,925",4.7,Beginner level,
English for Career Development,English for Career Development,University of Pennsylvania,"15,472",4.8,5 modules,
Hands-on Introduction to Linux Commands and Shell Scripting,Hands-on Introduction to Linux Commands and Shell Scripting,IBM,"1,242",4.7,4 modules,"Describe the Linux architecture and common Linux distributions and update and install software on a Linux system. 
Perform common informational, file, content, navigational, compression, and networking commands in Bash shell. 
Develop shell scripts using Linux commands, environment variables, pipes, and filters.
Schedule cron jobs in Linux with crontab and explain the cron syntax.  "
Introductory Human Physiology,Introductory Human Physiology,Duke University,"4,911",4.8,11 modules,"Recognize how the basic organ systems of the body work 
Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems"
First Step Korean,First Step Korean,Yonsei University,"50,499",4.9,6 modules,
Financial Markets,Financial Markets,Yale University,"27,992",4.8,7 modules,
Business Analysis & Process Management,Business Analysis & Process Management,Coursera Project Network,"4,273",4.4,Guided Project,"Analyze business processes and find solutions to existing business problems
Define your business processes, their objectives and how they flow within the organizational context
Evaluate the current business from a process view, break down the problems, and find an applicable business solution."
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,"37,039",4.6,5 modules,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. "
Introduction to Microsoft Excel,Introduction to Microsoft Excel,Coursera Project Network,Recommended,4.6,Intermediate level,"Create an Excel spreadsheet and learn how to maneuver around the spreadsheet for data entry.
Create simple formulas in an Excel spreadsheet to analyze data."
English for Common Interactions in the Workplace: Basic Level,English for Common Interactions in the Workplace: Basic Level,Pontificia Universidad Católica de Chile,"2,200",4.7,8 hours to complete," Describe professions and daily activities related to the workplace.
Make and answer basic phone calls related to the workplace. 
Make arrangements for meetings at the workplace. 
Talk about job activities in the past. "
Build a free website with WordPress,Build a free website with WordPress,Coursera Project Network,881,4.4,Guided Project,Open a free website on WordPress it and add pages to the website  
Google Ads for Beginners,Google Ads for Beginners,Coursera Project Network,"4,947",4.4,Guided Project,"Create a Google Ads account and set up first campaign structure
Create ad groups, do keyword research, set up audience targeting, and write ads
Learn how to use the tools and settings available to optimize campaigns and make them profitable  "
Cybersecurity for Everyone,Cybersecurity for Everyone,"University of Maryland, College Park","1,925",4.7,6 modules,
English for Career Development,English for Career Development,University of Pennsylvania,"15,472",4.8,40 hours to complete,
Hands-on Introduction to Linux Commands and Shell Scripting,Hands-on Introduction to Linux Commands and Shell Scripting,IBM,"1,242",4.7,Beginner level,"Describe the Linux architecture and common Linux distributions and update and install software on a Linux system. 
Perform common informational, file, content, navigational, compression, and networking commands in Bash shell. 
Develop shell scripts using Linux commands, environment variables, pipes, and filters.
Schedule cron jobs in Linux with crontab and explain the cron syntax.  "
Introductory Human Physiology,Introductory Human Physiology,Duke University,"4,911",4.8,11 modules,"Recognize how the basic organ systems of the body work 
Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems"
First Step Korean,First Step Korean,Yonsei University,"50,499",4.9,6 modules,
Financial Markets,Financial Markets,Yale University,"27,992",4.8,Beginner level,
Business Analysis & Process Management,Business Analysis & Process Management,Coursera Project Network,Recommended,4.4,Beginner level,"Analyze business processes and find solutions to existing business problems
Define your business processes, their objectives and how they flow within the organizational context
Evaluate the current business from a process view, break down the problems, and find an applicable business solution."
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,"37,039",4.6,Beginner level,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. "
Introduction to Microsoft Excel,Introduction to Microsoft Excel,Coursera Project Network,"8,315",4.6,Guided Project,"Create an Excel spreadsheet and learn how to maneuver around the spreadsheet for data entry.
Create simple formulas in an Excel spreadsheet to analyze data."
English for Common Interactions in the Workplace: Basic Level,English for Common Interactions in the Workplace: Basic Level,Pontificia Universidad Católica de Chile,"2,200",4.7,8 hours to complete," Describe professions and daily activities related to the workplace.
Make and answer basic phone calls related to the workplace. 
Make arrangements for meetings at the workplace. 
Talk about job activities in the past. "
Build a free website with WordPress,Build a free website with WordPress,Coursera Project Network,881,4.4,Guided Project,Open a free website on WordPress it and add pages to the website  
Google Ads for Beginners,Google Ads for Beginners,Coursera Project Network,Recommended,4.4,Beginner level,"Create a Google Ads account and set up first campaign structure
Create ad groups, do keyword research, set up audience targeting, and write ads
Learn how to use the tools and settings available to optimize campaigns and make them profitable  "
Cybersecurity for Everyone,Cybersecurity for Everyone,"University of Maryland, College Park","1,925",4.7,Beginner level,
English for Career Development,English for Career Development,University of Pennsylvania,"15,472",4.8,40 hours to complete,
Hands-on Introduction to Linux Commands and Shell Scripting,Hands-on Introduction to Linux Commands and Shell Scripting,IBM,"1,242",4.7,Beginner level,"Describe the Linux architecture and common Linux distributions and update and install software on a Linux system. 
Perform common informational, file, content, navigational, compression, and networking commands in Bash shell. 
Develop shell scripts using Linux commands, environment variables, pipes, and filters.
Schedule cron jobs in Linux with crontab and explain the cron syntax.  "
Introductory Human Physiology,Introductory Human Physiology,Duke University,"4,911",4.8,11 modules,"Recognize how the basic organ systems of the body work 
Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems"
First Step Korean,First Step Korean,Yonsei University,"50,499",4.9,6 modules,
Financial Markets,Financial Markets,Yale University,"27,992",4.8,7 modules,
Business Analysis & Process Management,Business Analysis & Process Management,Coursera Project Network,Recommended,4.4,Beginner level,"Analyze business processes and find solutions to existing business problems
Define your business processes, their objectives and how they flow within the organizational context
Evaluate the current business from a process view, break down the problems, and find an applicable business solution."
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,"37,039",4.6,5 modules,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. "
Introduction to Microsoft Excel,Introduction to Microsoft Excel,Coursera Project Network,"8,315",4.6,Guided Project,"Create an Excel spreadsheet and learn how to maneuver around the spreadsheet for data entry.
Create simple formulas in an Excel spreadsheet to analyze data."
English for Common Interactions in the Workplace: Basic Level,English for Common Interactions in the Workplace: Basic Level,Pontificia Universidad Católica de Chile,"2,200",4.7,5 modules," Describe professions and daily activities related to the workplace.
Make and answer basic phone calls related to the workplace. 
Make arrangements for meetings at the workplace. 
Talk about job activities in the past. "
Build a free website with WordPress,Build a free website with WordPress,Coursera Project Network,881,4.4,Guided Project,Open a free website on WordPress it and add pages to the website  
Google Ads for Beginners,Google Ads for Beginners,Coursera Project Network,Recommended,4.4,Beginner level,"Create a Google Ads account and set up first campaign structure
Create ad groups, do keyword research, set up audience targeting, and write ads
Learn how to use the tools and settings available to optimize campaigns and make them profitable  "
Cybersecurity for Everyone,Cybersecurity for Everyone,"University of Maryland, College Park","1,925",4.7,6 modules,
English for Career Development,English for Career Development,University of Pennsylvania,"15,472",4.8,5 modules,
Hands-on Introduction to Linux Commands and Shell Scripting,Hands-on Introduction to Linux Commands and Shell Scripting,IBM,"1,242",4.7,Beginner level,"Describe the Linux architecture and common Linux distributions and update and install software on a Linux system. 
Perform common informational, file, content, navigational, compression, and networking commands in Bash shell. 
Develop shell scripts using Linux commands, environment variables, pipes, and filters.
Schedule cron jobs in Linux with crontab and explain the cron syntax.  "
Introductory Human Physiology,Introductory Human Physiology,Duke University,"4,911",4.8,Beginner level,"Recognize how the basic organ systems of the body work 
Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems"
First Step Korean,First Step Korean,Yonsei University,"50,499",4.9,6 modules,
Financial Markets,Financial Markets,Yale University,"27,992",4.8,Beginner level,
Business Analysis & Process Management,Business Analysis & Process Management,Coursera Project Network,Recommended,4.4,Beginner level,"Analyze business processes and find solutions to existing business problems
Define your business processes, their objectives and how they flow within the organizational context
Evaluate the current business from a process view, break down the problems, and find an applicable business solution."
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,"37,039",4.6,Beginner level,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. "
Introduction to Microsoft Excel,Introduction to Microsoft Excel,Coursera Project Network,"8,315",4.6,Guided Project,"Create an Excel spreadsheet and learn how to maneuver around the spreadsheet for data entry.
Create simple formulas in an Excel spreadsheet to analyze data."
English for Common Interactions in the Workplace: Basic Level,English for Common Interactions in the Workplace: Basic Level,Pontificia Universidad Católica de Chile,"2,200",4.7,8 hours to complete," Describe professions and daily activities related to the workplace.
Make and answer basic phone calls related to the workplace. 
Make arrangements for meetings at the workplace. 
Talk about job activities in the past. "
Build a free website with WordPress,Build a free website with WordPress,Coursera Project Network,881,4.4,Guided Project,Open a free website on WordPress it and add pages to the website  
Google Ads for Beginners,Google Ads for Beginners,Coursera Project Network,"4,947",4.4,Guided Project,"Create a Google Ads account and set up first campaign structure
Create ad groups, do keyword research, set up audience targeting, and write ads
Learn how to use the tools and settings available to optimize campaigns and make them profitable  "
Cybersecurity for Everyone,Cybersecurity for Everyone,"University of Maryland, College Park","1,925",4.7,6 modules,
English for Career Development,English for Career Development,University of Pennsylvania,"15,472",4.8,40 hours to complete,
Hands-on Introduction to Linux Commands and Shell Scripting,Hands-on Introduction to Linux Commands and Shell Scripting,IBM,"1,242",4.7,4 modules,"Describe the Linux architecture and common Linux distributions and update and install software on a Linux system. 
Perform common informational, file, content, navigational, compression, and networking commands in Bash shell. 
Develop shell scripts using Linux commands, environment variables, pipes, and filters.
Schedule cron jobs in Linux with crontab and explain the cron syntax.  "
Introductory Human Physiology,Introductory Human Physiology,Duke University,"4,911",4.8,11 modules,"Recognize how the basic organ systems of the body work 
Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems"
First Step Korean,First Step Korean,Yonsei University,"50,499",4.9,Beginner level,
Financial Markets,Financial Markets,Yale University,"27,992",4.8,7 modules,
Business Analysis & Process Management,Business Analysis & Process Management,Coursera Project Network,Recommended,4.4,Beginner level,"Analyze business processes and find solutions to existing business problems
Define your business processes, their objectives and how they flow within the organizational context
Evaluate the current business from a process view, break down the problems, and find an applicable business solution."
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,"37,039",4.6,5 modules,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. "
Introduction to Microsoft Excel,Introduction to Microsoft Excel,Coursera Project Network,"8,315",4.6,Guided Project,"Create an Excel spreadsheet and learn how to maneuver around the spreadsheet for data entry.
Create simple formulas in an Excel spreadsheet to analyze data."
English for Common Interactions in the Workplace: Basic Level,English for Common Interactions in the Workplace: Basic Level,Pontificia Universidad Católica de Chile,"2,200",4.7,8 hours to complete," Describe professions and daily activities related to the workplace.
Make and answer basic phone calls related to the workplace. 
Make arrangements for meetings at the workplace. 
Talk about job activities in the past. "
Build a free website with WordPress,Build a free website with WordPress,Coursera Project Network,Recommended,4.4,Intermediate level,Open a free website on WordPress it and add pages to the website  
Google Ads for Beginners,Google Ads for Beginners,Coursera Project Network,"4,947",4.4,Guided Project,"Create a Google Ads account and set up first campaign structure
Create ad groups, do keyword research, set up audience targeting, and write ads
Learn how to use the tools and settings available to optimize campaigns and make them profitable  "
Cybersecurity for Everyone,Cybersecurity for Everyone,"University of Maryland, College Park","1,925",4.7,Beginner level,
English for Career Development,English for Career Development,University of Pennsylvania,"15,472",4.8,5 modules,
Hands-on Introduction to Linux Commands and Shell Scripting,Hands-on Introduction to Linux Commands and Shell Scripting,IBM,"1,242",4.7,4 modules,"Describe the Linux architecture and common Linux distributions and update and install software on a Linux system. 
Perform common informational, file, content, navigational, compression, and networking commands in Bash shell. 
Develop shell scripts using Linux commands, environment variables, pipes, and filters.
Schedule cron jobs in Linux with crontab and explain the cron syntax.  "
Introductory Human Physiology,Introductory Human Physiology,Duke University,"4,911",4.8,11 modules,"Recognize how the basic organ systems of the body work 
Apply the basic concepts that govern integrated body function as an intact organism in the nine of the body’s organ systems"
First Step Korean,First Step Korean,Yonsei University,"50,499",4.9,Beginner level,
Financial Markets,Financial Markets,Yale University,"27,992",4.8,7 modules,
Business Analysis & Process Management,Business Analysis & Process Management,Coursera Project Network,Recommended,4.4,Beginner level,"Analyze business processes and find solutions to existing business problems
Define your business processes, their objectives and how they flow within the organizational context
Evaluate the current business from a process view, break down the problems, and find an applicable business solution."
"Python for Data Science, AI & Development","Python for Data Science, AI & Development",IBM,"37,039",4.6,Beginner level,"Learn Python - the most popular programming language and for Data Science and Software Development.
Apply Python programming logic Variables, Data Structures, Branching, Loops, Functions, Objects & Classes.
Demonstrate proficiency in using Python libraries such as Pandas & Numpy, and developing code using Jupyter Notebooks.
Access and web scrape data using APIs and Python libraries like Beautiful Soup. "
